Measure,CONTROL,MILD,DEEP,CONTROL_REST,MILD_REST,DEEP_REST
Mean,0.78347186663648,0.821368748138912,0.843241122485669,0.833378975097798,0.850635762179722,0.834146859676064
SE,0.00363312918881198,0.0032273295705827,0.00304111836392218,0.00282303377476813,0.00181321772404781,0.0027780111726926
