Measure,CONTROL,MILD,DEEP,CONTROL_REST,MILD_REST,DEEP_REST
Mean,0.839879087295561,0.825139657242349,0.806851940152666,0.834481068217049,0.823665135857628,0.822736828491594
SE,0.00265925740826263,0.0026972702791159,0.00351654236391566,0.00291245693195056,0.0026495782953503,0.00366177869248353
