ENTROPY_DELTA,INTss_DELTA,Label
0.0123446919067822,0.0174285581153223,DorsAttnA
0.219383585322223,0.00970996382677924,ContA
0.682247463161044,-0.0988372132084622,TempPar
-0.257942198142085,0.0330271471428955,SomMotB
-0.461210538798609,0.0688765895402992,VisPeri
-0.480536106560114,0.0593699834630456,SUB54
0.652449569237101,-0.0597692558491892,DefaultB
0.426986134270451,-0.0878659407457534,ContC
-0.114300905968383,0.0162287592941396,SomMotA
0.33181335192164,-0.0254226230249743,SalVentAttnB
0.479585941445729,-0.0456576183365909,DefaultA
0.27323737171442,-0.0225903996222652,ContB
0.259932471048001,-0.0145061780303507,SalVentAttnA
-0.494069338117096,0.0595849728093487,LimbicA
0.0826348850662946,-0.0189592029946467,DefaultC
0.0767807612266092,-0.00261476432992036,DorsAttnB
-0.0927479607987927,-0.0351429346402748,VisCent
-0.0196613570005448,0.0201449266815792,LimbicB
